$TTL 300
@ SOA localhost. root.localhost. 2024112401 43200 3600 259200 300
  NS  localhost.
0.europe-west2.gs.bmt.cognac.snapchat.com CNAME .
*.0.europe-west2.gs.bmt.cognac.snapchat.com CNAME .
0.gs.bmp.cognac.snapchat.com CNAME .
*.0.gs.bmp.cognac.snapchat.com CNAME .
0.gs.zrs.cognac.snapchat.com CNAME .
*.0.gs.zrs.cognac.snapchat.com CNAME .
0.us-central1.gs.bmt.cognac.snapchat.com CNAME .
*.0.us-central1.gs.bmt.cognac.snapchat.com CNAME .
0pbxmo-useast2a.xzcs3zlph.com CNAME .
*.0pbxmo-useast2a.xzcs3zlph.com CNAME .
0pbxmo-useast2a.xzcs3zlph.com.edgesuite.net CNAME .
*.0pbxmo-useast2a.xzcs3zlph.com.edgesuite.net CNAME .
0pbxmo.xzcs3zlph.com CNAME .
*.0pbxmo.xzcs3zlph.com CNAME .
0pbxmo.xzcs3zlph.com.edgesuite.net CNAME .
*.0pbxmo.xzcs3zlph.com.edgesuite.net CNAME .
0rutzab.qfyf1toi.com CNAME .
*.0rutzab.qfyf1toi.com CNAME .
1.europe-west2.gs.bmt.cognac.snapchat.com CNAME .
*.1.europe-west2.gs.bmt.cognac.snapchat.com CNAME .
1.gs.bmp.cognac.snapchat.com CNAME .
*.1.gs.bmp.cognac.snapchat.com CNAME .
1.gs.zrs.cognac.snapchat.com CNAME .
*.1.gs.zrs.cognac.snapchat.com CNAME .
1.us-central1.gs.bmt.cognac.snapchat.com CNAME .
*.1.us-central1.gs.bmt.cognac.snapchat.com CNAME .
10.gs.bmp.cognac.snapchat.com CNAME .
*.10.gs.bmp.cognac.snapchat.com CNAME .
11-antivirus.snappublisher.snapchat.com CNAME .
*.11-antivirus.snappublisher.snapchat.com CNAME .
11.gs.bmp.cognac.snapchat.com CNAME .
*.11.gs.bmp.cognac.snapchat.com CNAME .
12.gs.bmp.cognac.snapchat.com CNAME .
*.12.gs.bmp.cognac.snapchat.com CNAME .
13-antivirus.snappublisher.snapchat.com CNAME .
*.13-antivirus.snappublisher.snapchat.com CNAME .
13.gs.bmp.cognac.snapchat.com CNAME .
*.13.gs.bmp.cognac.snapchat.com CNAME .
14.gs.bmp.cognac.snapchat.com CNAME .
*.14.gs.bmp.cognac.snapchat.com CNAME .
15.gs.bmp.cognac.snapchat.com CNAME .
*.15.gs.bmp.cognac.snapchat.com CNAME .
16-antivirus.snappublisher.snapchat.com CNAME .
*.16-antivirus.snappublisher.snapchat.com CNAME .
16.gs.bmp.cognac.snapchat.com CNAME .
*.16.gs.bmp.cognac.snapchat.com CNAME .
17.gs.bmp.cognac.snapchat.com CNAME .
*.17.gs.bmp.cognac.snapchat.com CNAME .
18-antivirus.snappublisher.snapchat.com CNAME .
*.18-antivirus.snappublisher.snapchat.com CNAME .
18.antivirus.snappublisher.snapchat.com CNAME .
*.18.antivirus.snappublisher.snapchat.com CNAME .
18.gs.bmp.cognac.snapchat.com CNAME .
*.18.gs.bmp.cognac.snapchat.com CNAME .
19.gs.bmp.cognac.snapchat.com CNAME .
*.19.gs.bmp.cognac.snapchat.com CNAME .
1uipkgq.mzfvozqybf.com CNAME .
*.1uipkgq.mzfvozqybf.com CNAME .
2.gs.bmp.cognac.snapchat.com CNAME .
*.2.gs.bmp.cognac.snapchat.com CNAME .
2.us-central1.gs.bmt.cognac.snapchat.com CNAME .
*.2.us-central1.gs.bmt.cognac.snapchat.com CNAME .
20.games.snapchat.com CNAME .
*.20.games.snapchat.com CNAME .
20.gs.bmp.cognac.snapchat.com CNAME .
*.20.gs.bmp.cognac.snapchat.com CNAME .
2009.antivirus.snappublisher.snapchat.com CNAME .
*.2009.antivirus.snappublisher.snapchat.com CNAME .
2009antivirus.snappublisher.snapchat.com CNAME .
*.2009antivirus.snappublisher.snapchat.com CNAME .
2014-antivirus.snappublisher.snapchat.com CNAME .
*.2014-antivirus.snappublisher.snapchat.com CNAME .
2015-antivirus.snappublisher.snapchat.com CNAME .
*.2015-antivirus.snappublisher.snapchat.com CNAME .
21.gs.bmp.cognac.snapchat.com CNAME .
*.21.gs.bmp.cognac.snapchat.com CNAME .
22.gs.bmp.cognac.snapchat.com CNAME .
*.22.gs.bmp.cognac.snapchat.com CNAME .
23.gs.bmp.cognac.snapchat.com CNAME .
