$TTL 300
@ SOA localhost. root.localhost. 2024112401 43200 3600 259200 300
  NS  localhost.
0000130.com CNAME .
*.0000130.com CNAME .
0066130.com CNAME .
*.0066130.com CNAME .
0077130.com CNAME .
*.0077130.com CNAME .
009.casino CNAME .
*.009.casino CNAME .
009.com CNAME .
*.009.com CNAME .
009songbai.com CNAME .
*.009songbai.com CNAME .
010bestk8.com CNAME .
*.010bestk8.com CNAME .
011bestk8.com CNAME .
*.011bestk8.com CNAME .
012bestk8.com CNAME .
*.012bestk8.com CNAME .
013bestk8.com CNAME .
*.013bestk8.com CNAME .
014bestk8.com CNAME .
*.014bestk8.com CNAME .
015bestk8.com CNAME .
*.015bestk8.com CNAME .
016665.com CNAME .
*.016665.com CNAME .
016881.com CNAME .
*.016881.com CNAME .
016bestk8.com CNAME .
*.016bestk8.com CNAME .
017bestk8.com CNAME .
*.017bestk8.com CNAME .
018bestk8.com CNAME .
*.018bestk8.com CNAME .
019bestk8.com CNAME .
*.019bestk8.com CNAME .
01bestk8.com CNAME .
*.01bestk8.com CNAME .
01gamek8.com CNAME .
*.01gamek8.com CNAME .
01prok8.com CNAME .
*.01prok8.com CNAME .
02bestk8.com CNAME .
*.02bestk8.com CNAME .
02gamek8.com CNAME .
*.02gamek8.com CNAME .
02prok8.com CNAME .
*.02prok8.com CNAME .
03bestk8.com CNAME .
*.03bestk8.com CNAME .
03gamek8.com CNAME .
*.03gamek8.com CNAME .
03prok8.com CNAME .
*.03prok8.com CNAME .
048.com CNAME .
*.048.com CNAME .
04bestk8.com CNAME .
*.04bestk8.com CNAME .
04gamek8.com CNAME .
*.04gamek8.com CNAME .
04prok8.com CNAME .
*.04prok8.com CNAME .
05bestk8.com CNAME .
*.05bestk8.com CNAME .
05gamek8.com CNAME .
*.05gamek8.com CNAME .
05prok8.com CNAME .
*.05prok8.com CNAME .
06bestk8.com CNAME .
*.06bestk8.com CNAME .
06gamek8.com CNAME .
*.06gamek8.com CNAME .
06prok8.com CNAME .
*.06prok8.com CNAME .
07bestk8.com CNAME .
*.07bestk8.com CNAME .
07gamek8.com CNAME .
*.07gamek8.com CNAME .
07prok8.com CNAME .
*.07prok8.com CNAME .
08bestk8.com CNAME .
*.08bestk8.com CNAME .
08gamek8.com CNAME .
*.08gamek8.com CNAME .
08prok8.com CNAME .
*.08prok8.com CNAME .
0909777.com CNAME .
*.0909777.com CNAME .
09bestk8.com CNAME .
*.09bestk8.com CNAME .
09gamek8.com CNAME .
*.09gamek8.com CNAME .
09prok8.com CNAME .
*.09prok8.com CNAME .
101ae888.com CNAME .
*.101ae888.com CNAME .
10gamek8.com CNAME .
*.10gamek8.com CNAME .
