$TTL 300
@ SOA localhost. root.localhost. 2024112001 43200 3600 259200 300
  NS  localhost.
qalerts.app CNAME .
*.qalerts.app CNAME .
qanon.app CNAME .
*.qanon.app CNAME .
historyreviewed.best CNAME .
*.historyreviewed.best CNAME .
dev.historyreviewed.best CNAME .
*.dev.historyreviewed.best CNAME .
mail.historyreviewed.best CNAME .
*.mail.historyreviewed.best CNAME .
siegeculture.biz CNAME .
*.siegeculture.biz CNAME .
cpanel.siegeculture.biz CNAME .
*.cpanel.siegeculture.biz CNAME .
forums.siegeculture.biz CNAME .
*.forums.siegeculture.biz CNAME .
ftp.siegeculture.biz CNAME .
*.ftp.siegeculture.biz CNAME .
mail.siegeculture.biz CNAME .
*.mail.siegeculture.biz CNAME .
mydevice.siegeculture.biz CNAME .
*.mydevice.siegeculture.biz CNAME .
search.siegeculture.biz CNAME .
*.search.siegeculture.biz CNAME .
smtp.siegeculture.biz CNAME .
*.smtp.siegeculture.biz CNAME .
w.siegeculture.biz CNAME .
*.w.siegeculture.biz CNAME .
watch.siegeculture.biz CNAME .
*.watch.siegeculture.biz CNAME .
web.siegeculture.biz CNAME .
*.web.siegeculture.biz CNAME .
webdisk.siegeculture.biz CNAME .
*.webdisk.siegeculture.biz CNAME .
webmail.siegeculture.biz CNAME .
*.webmail.siegeculture.biz CNAME .
wlamazcsrv1.siegeculture.biz CNAME .
*.wlamazcsrv1.siegeculture.biz CNAME .
ww25.wlamazcsrv1.siegeculture.biz CNAME .
*.ww25.wlamazcsrv1.siegeculture.biz CNAME .
ws.siegeculture.biz CNAME .
*.ws.siegeculture.biz CNAME .
ww11.siegeculture.biz CNAME .
*.ww11.siegeculture.biz CNAME .
ww25.siegeculture.biz CNAME .
*.ww25.siegeculture.biz CNAME .
ww2w.siegeculture.biz CNAME .
*.ww2w.siegeculture.biz CNAME .
ww25.ww2w.siegeculture.biz CNAME .
*.ww25.ww2w.siegeculture.biz CNAME .
ww31.siegeculture.biz CNAME .
*.ww31.siegeculture.biz CNAME .
ww38.siegeculture.biz CNAME .
*.ww38.siegeculture.biz CNAME .
globalresearch.ca CNAME .
*.globalresearch.ca CNAME .
archives.globalresearch.ca CNAME .
*.archives.globalresearch.ca CNAME .
ftp.globalresearch.ca CNAME .
*.ftp.globalresearch.ca CNAME .
mail.globalresearch.ca CNAME .
*.mail.globalresearch.ca CNAME .
management.globalresearch.ca CNAME .
*.management.globalresearch.ca CNAME .
