$TTL 300
@ SOA localhost. root.localhost. 2024120501 43200 3600 259200 300
  NS  localhost.
7f09929ed56e7e46259aefffa5b4f7b9b4ab0c6038dcb600745278963c.pages.dev CNAME .
*.7f09929ed56e7e46259aefffa5b4f7b9b4ab0c6038dcb600745278963c.pages.dev CNAME .
7f1fb68c-b661-4cb2-b221-9fa7f53ebae3-00-2iborf1w0ksxk.riker.replit.dev CNAME .
*.7f1fb68c-b661-4cb2-b221-9fa7f53ebae3-00-2iborf1w0ksxk.riker.replit.dev CNAME .
7fa32329.staking1propbase.pages.dev CNAME .
*.7fa32329.staking1propbase.pages.dev CNAME .
7hg.pages.dev CNAME .
*.7hg.pages.dev CNAME .
7htrs.pages.dev CNAME .
*.7htrs.pages.dev CNAME .
7sggjwkso08j1.pages.dev CNAME .
*.7sggjwkso08j1.pages.dev CNAME .
80365365.com CNAME .
*.80365365.com CNAME .
8081.co.uk CNAME .
*.8081.co.uk CNAME .
80bd29d1-3ecf-41f4-bc41-ba1f2963d1df-00-vkf7g2mrcbc0.picard.replit.dev CNAME .
*.80bd29d1-3ecf-41f4-bc41-ba1f2963d1df-00-vkf7g2mrcbc0.picard.replit.dev CNAME .
8119f507-64da-4976-b8a2-58cf55099a22-00-3fe8hfdh4mife.pike.replit.dev CNAME .
*.8119f507-64da-4976-b8a2-58cf55099a22-00-3fe8hfdh4mife.pike.replit.dev CNAME .
81739501-namoadidaphat.pages.dev CNAME .
*.81739501-namoadidaphat.pages.dev CNAME .
82565e2a.a6f3bacd5ae2df18404bb4b0.workers.dev CNAME .
*.82565e2a.a6f3bacd5ae2df18404bb4b0.workers.dev CNAME .
82e8d1fd-19ed-45ce-ba83-9106aeead134-00-2ec9zsazn23c9.picard.replit.dev CNAME .
*.82e8d1fd-19ed-45ce-ba83-9106aeead134-00-2ec9zsazn23c9.picard.replit.dev CNAME .
83471253-828f-45a1-b0d2-e51b921dc811-00-q22wpm70zgh5.riker.replit.dev CNAME .
*.83471253-828f-45a1-b0d2-e51b921dc811-00-q22wpm70zgh5.riker.replit.dev CNAME .
837icy-389jh98.pages.dev CNAME .
*.837icy-389jh98.pages.dev CNAME .
838eefeb-673f-4102-a371-fc31dcdd90d4-00-1p84xw4tcx82n.picard.replit.dev CNAME .
*.838eefeb-673f-4102-a371-fc31dcdd90d4-00-1p84xw4tcx82n.picard.replit.dev CNAME .
83f02274-270f-4d7d-b887-a145cfeb31c7-00-219cg7cutttxm.kirk.replit.dev CNAME .
*.83f02274-270f-4d7d-b887-a145cfeb31c7-00-219cg7cutttxm.kirk.replit.dev CNAME .
8460b66ebdb9492699cb1149e5769.pages.dev CNAME .
*.8460b66ebdb9492699cb1149e5769.pages.dev CNAME .
858b78b9.ca11he1pn0wms112.pages.dev CNAME .
*.858b78b9.ca11he1pn0wms112.pages.dev CNAME .
85b3ceda-6ea0-495e-8b50-179ac0ed11cd-00-1rqqoyrqmvz32.picard.replit.dev CNAME .
*.85b3ceda-6ea0-495e-8b50-179ac0ed11cd-00-1rqqoyrqmvz32.picard.replit.dev CNAME .
85srs5e.d831920d2024835a5639fc55.workers.dev CNAME .
*.85srs5e.d831920d2024835a5639fc55.workers.dev CNAME .
8680dc17-79be-47fb-9d45-f27213bc1c18-00-1epwcrp7s99tw.picard.replit.dev CNAME .
*.8680dc17-79be-47fb-9d45-f27213bc1c18-00-1epwcrp7s99tw.picard.replit.dev CNAME .
870b5bb0-4c1e-4d5a-9690-645585bcd39f-00-3edbzschmkrqx.kirk.replit.dev CNAME .
*.870b5bb0-4c1e-4d5a-9690-645585bcd39f-00-3edbzschmkrqx.kirk.replit.dev CNAME .
87365365.com CNAME .
*.87365365.com CNAME .
873aab71-79f3-4385-9c95-1d2d8a9fde59-00-3bc43wn8vf7sh.spock.replit.dev CNAME .
*.873aab71-79f3-4385-9c95-1d2d8a9fde59-00-3bc43wn8vf7sh.spock.replit.dev CNAME .
8779z-n88z.pages.dev CNAME .
*.8779z-n88z.pages.dev CNAME .
879721d9-f34d-427d-82da-d4e7568cf4e2-00-2dg0o1sjmxz5a.picard.replit.dev CNAME .
*.879721d9-f34d-427d-82da-d4e7568cf4e2-00-2dg0o1sjmxz5a.picard.replit.dev CNAME .
87a80781-8676-4d20-a13f-57aac5f953b7-00-161eaiyf391as.picard.replit.dev CNAME .
*.87a80781-8676-4d20-a13f-57aac5f953b7-00-161eaiyf391as.picard.replit.dev CNAME .
87eb9ead-e620-4301-9dc1-efd47be5b53d-00-1j1kzhpaiio22.picard.replit.dev CNAME .
*.87eb9ead-e620-4301-9dc1-efd47be5b53d-00-1j1kzhpaiio22.picard.replit.dev CNAME .
887944ce975be0b3093c712ca4c97a2e9328f9242b7606056a690c5f1c.pages.dev CNAME .
*.887944ce975be0b3093c712ca4c97a2e9328f9242b7606056a690c5f1c.pages.dev CNAME .
888-5wa.pages.dev CNAME .
*.888-5wa.pages.dev CNAME .
88d2f47e5eec541d907a3951ea1586732.pages.dev CNAME .
*.88d2f47e5eec541d907a3951ea1586732.pages.dev CNAME .
8977a295-2d5d-46f7-80bf-dfb570ac6915-00-1750pyb4wt57p.riker.replit.dev CNAME .
*.8977a295-2d5d-46f7-80bf-dfb570ac6915-00-1750pyb4wt57p.riker.replit.dev CNAME .
8977a295-2d5d-46f7-80bf-dfb57ac6915-00-1750pyb4wt57p.riker.replit.dev CNAME .
*.8977a295-2d5d-46f7-80bf-dfb57ac6915-00-1750pyb4wt57p.riker.replit.dev CNAME .
898907a5-6f6f-4053-9925-423af987fa88-00-n30iqymyol0p.sisko.replit.dev CNAME .
*.898907a5-6f6f-4053-9925-423af987fa88-00-n30iqymyol0p.sisko.replit.dev CNAME .
89fd.pbdja.workers.dev CNAME .
*.89fd.pbdja.workers.dev CNAME .
8a1348d0-785c-46bd-9a8b-b8c5f9669095-00-1ncp1phtu7kze.worf.replit.dev CNAME .
*.8a1348d0-785c-46bd-9a8b-b8c5f9669095-00-1ncp1phtu7kze.worf.replit.dev CNAME .
8a3d2d9a-1af8-43c7-abb3-edbdbff1aba8-00-18g02zaw0gcmi.pike.replit.dev CNAME .
*.8a3d2d9a-1af8-43c7-abb3-edbdbff1aba8-00-18g02zaw0gcmi.pike.replit.dev CNAME .
8bdf7b5b-6048-466b-9e1f-f7f697b8dbb9-00-3tbof97c8v5im.riker.replit.dev CNAME .
*.8bdf7b5b-6048-466b-9e1f-f7f697b8dbb9-00-3tbof97c8v5im.riker.replit.dev CNAME .
8c3e09e2-d6d2-4d83-a2ef-cfb78e53cbdb-00-3h8251yhonkcd.riker.replit.dev CNAME .
*.8c3e09e2-d6d2-4d83-a2ef-cfb78e53cbdb-00-3h8251yhonkcd.riker.replit.dev CNAME .
8c9d9784-7b19-48d6-ad09-048069219be1-00-1nw4wk3cu8lkr.riker.replit.dev CNAME .
*.8c9d9784-7b19-48d6-ad09-048069219be1-00-1nw4wk3cu8lkr.riker.replit.dev CNAME .
8cf06a3e-7c0a-4d7a-93e3-4ec6296aa38d-00-3e910a5wi74y5.worf.replit.dev CNAME .
*.8cf06a3e-7c0a-4d7a-93e3-4ec6296aa38d-00-3e910a5wi74y5.worf.replit.dev CNAME .
8d038e9c-3bb4-4dfd-bca9-0a61bf4632ea-00-177bwncce4ky2.riker.replit.dev CNAME .
*.8d038e9c-3bb4-4dfd-bca9-0a61bf4632ea-00-177bwncce4ky2.riker.replit.dev CNAME .
8d0fc641-ba5e-44a4-b148-53229815edb6-00-1p33sxvch0vuk.kirk.replit.dev CNAME .
*.8d0fc641-ba5e-44a4-b148-53229815edb6-00-1p33sxvch0vuk.kirk.replit.dev CNAME .
8d3c6376-67aa-4f80-9217-a74801f02e20-00-uhhytpdohd1n.riker.replit.dev CNAME .
*.8d3c6376-67aa-4f80-9217-a74801f02e20-00-uhhytpdohd1n.riker.replit.dev CNAME .
8d9ebefe9973f6945bf9eae292e27fbedd4d71c8944c15ae1030b2dd5a.pages.dev CNAME .
*.8d9ebefe9973f6945bf9eae292e27fbedd4d71c8944c15ae1030b2dd5a.pages.dev CNAME .
8e1fd3fcd03b297a.pages.dev CNAME .
*.8e1fd3fcd03b297a.pages.dev CNAME .
8e70b32b-5c2d-45a4-b1ee-ee29a3a56788-00-psclj1y2misu.riker.replit.dev CNAME .
*.8e70b32b-5c2d-45a4-b1ee-ee29a3a56788-00-psclj1y2misu.riker.replit.dev CNAME .
8f25a386-a1f2-4b44-94f5-ae304e30c7fe-00-2fi31ls0rvawk.riker.replit.dev CNAME .
*.8f25a386-a1f2-4b44-94f5-ae304e30c7fe-00-2fi31ls0rvawk.riker.replit.dev CNAME .
8f7d37d81cae018de85b36f1fe21ff6f0d62f6b81b478efd5b4c5c6295.pages.dev CNAME .
*.8f7d37d81cae018de85b36f1fe21ff6f0d62f6b81b478efd5b4c5c6295.pages.dev CNAME .
8f930662-bc32-4b75-8e0d-ea6f6d60a66a-00-1qm6k1mp53wp9.picard.replit.dev CNAME .
*.8f930662-bc32-4b75-8e0d-ea6f6d60a66a-00-1qm6k1mp53wp9.picard.replit.dev CNAME .
8ji8.weeblysite.com CNAME .
*.8ji8.weeblysite.com CNAME .
8jtvd.pages.dev CNAME .
*.8jtvd.pages.dev CNAME .
8r13tbbn19148-tsyhliqnqrl-9zrevo68qg1o34huz2nocg9-dos38x5j.pages.dev CNAME .
*.8r13tbbn19148-tsyhliqnqrl-9zrevo68qg1o34huz2nocg9-dos38x5j.pages.dev CNAME .
8skab.top CNAME .
*.8skab.top CNAME .
8u8y8y87y756t.pages.dev CNAME .
*.8u8y8y87y756t.pages.dev CNAME .
8w3wzy4q.pages.dev CNAME .
*.8w3wzy4q.pages.dev CNAME .
8yzwtmacryllqc7ocvaz9gic18zttxvq6mv7owm-r-wnfkx3pcgi1srk0f.pages.dev CNAME .
*.8yzwtmacryllqc7ocvaz9gic18zttxvq6mv7owm-r-wnfkx3pcgi1srk0f.pages.dev CNAME .
904372-asicasniac-aslkwm-laskodjw-iqnc3845.pages.dev CNAME .
*.904372-asicasniac-aslkwm-laskodjw-iqnc3845.pages.dev CNAME .
90a4642b-e1db-448b-9b23-ac0265a6c358-00-143z57xz9d36m.picard.replit.dev CNAME .
*.90a4642b-e1db-448b-9b23-ac0265a6c358-00-143z57xz9d36m.picard.replit.dev CNAME .
9127876789.audio-securedocument-signature.workers.dev CNAME .
*.9127876789.audio-securedocument-signature.workers.dev CNAME .
9140f569-cde4-433b-9bdb-1d71d6888b8b-00-aau1s2o8tbvc.picard.replit.dev CNAME .
*.9140f569-cde4-433b-9bdb-1d71d6888b8b-00-aau1s2o8tbvc.picard.replit.dev CNAME .
91892dream-3a8f.bardoglet.workers.dev CNAME .
*.91892dream-3a8f.bardoglet.workers.dev CNAME .
91a16fd3aee4ffe6643f9134783c5f15e.pages.dev CNAME .
*.91a16fd3aee4ffe6643f9134783c5f15e.pages.dev CNAME .
91a91a18.remove-issue.pages.dev CNAME .
*.91a91a18.remove-issue.pages.dev CNAME .
91fd3c5c-eef4-4f27-b959-1864e874ca38-00-ec3ger854xxq.picard.replit.dev CNAME .
*.91fd3c5c-eef4-4f27-b959-1864e874ca38-00-ec3ger854xxq.picard.replit.dev CNAME .
9242ec51-5ab0-4cd1-903f-fda330528994-00-3n45wzuak02f.worf.replit.dev CNAME .
*.9242ec51-5ab0-4cd1-903f-fda330528994-00-3n45wzuak02f.worf.replit.dev CNAME .
924fc1fb-b15e-4b9e-afa4-8d842478334d-00-1nh2gtr3raefo.spock.replit.dev CNAME .
*.924fc1fb-b15e-4b9e-afa4-8d842478334d-00-1nh2gtr3raefo.spock.replit.dev CNAME .
92738-aiuusn3-28766ds-cowlaic-9736.pages.dev CNAME .
*.92738-aiuusn3-28766ds-cowlaic-9736.pages.dev CNAME .
929d5f88-68eb-48cf-bbd2-390ef7205477-00-1godvxv6logzj.worf.replit.dev CNAME .
*.929d5f88-68eb-48cf-bbd2-390ef7205477-00-1godvxv6logzj.worf.replit.dev CNAME .
930097.cc CNAME .
*.930097.cc CNAME .
93869806348a3b610936717972.wsfchchance.workers.dev CNAME .
*.93869806348a3b610936717972.wsfchchance.workers.dev CNAME .
93dc02ba-7f74-4b52-99f7-937aece0a66c-00-3vea6o2s2qjz5.picard.replit.dev CNAME .
*.93dc02ba-7f74-4b52-99f7-937aece0a66c-00-3vea6o2s2qjz5.picard.replit.dev CNAME .
940293-492093.pages.dev CNAME .
*.940293-492093.pages.dev CNAME .
942ed560-aafb-4084-b23f-7d054706fe1b-00-9irw6t2245yx.kirk.replit.dev CNAME .
*.942ed560-aafb-4084-b23f-7d054706fe1b-00-9irw6t2245yx.kirk.replit.dev CNAME .
9447d164-d86f-4a28-a239-28c1a0fcebfc-00-39hqnf166dyt1.riker.replit.dev CNAME .
*.9447d164-d86f-4a28-a239-28c1a0fcebfc-00-39hqnf166dyt1.riker.replit.dev CNAME .
9449b8c3-461e-48ff-a13f-6712ee176213-00-1rvdex5wdg243.worf.replit.dev CNAME .
*.9449b8c3-461e-48ff-a13f-6712ee176213-00-1rvdex5wdg243.worf.replit.dev CNAME .
945355.com CNAME .
*.945355.com CNAME .
94af1e46-8050-4d6b-8693-69b9c792b844-00-1hnj0mtipyq7x.picard.replit.dev CNAME .
*.94af1e46-8050-4d6b-8693-69b9c792b844-00-1hnj0mtipyq7x.picard.replit.dev CNAME .
94v4y4irksicy8c-f9e52m5cvm6ju9szbmr5v0d0fneu45sv7wzi74yum4.pages.dev CNAME .
*.94v4y4irksicy8c-f9e52m5cvm6ju9szbmr5v0d0fneu45sv7wzi74yum4.pages.dev CNAME .
956khiomeaxe-85jmun-liomeactxs.pages.dev CNAME .
*.956khiomeaxe-85jmun-liomeactxs.pages.dev CNAME .
95741bd8-252b-4a2c-a0a0-78b2f4b6239b-00-bemagx7dqozr.sisko.replit.dev CNAME .
*.95741bd8-252b-4a2c-a0a0-78b2f4b6239b-00-bemagx7dqozr.sisko.replit.dev CNAME .
96263750382771898838940488372910918.chancellor-wfsch.workers.dev CNAME .
*.96263750382771898838940488372910918.chancellor-wfsch.workers.dev CNAME .
963-60r.pages.dev CNAME .
*.963-60r.pages.dev CNAME .
96477929-2885-49b1-9b27-604c54b221ce-00-3cubhi1dodsih.picard.replit.dev CNAME .
*.96477929-2885-49b1-9b27-604c54b221ce-00-3cubhi1dodsih.picard.replit.dev CNAME .
9661aa75-c202-410d-b59e-f53ace820a04-00-2pn2b0p37qyda.picard.replit.dev CNAME .
*.9661aa75-c202-410d-b59e-f53ace820a04-00-2pn2b0p37qyda.picard.replit.dev CNAME .
966ccd72.fb-policy-violation.pages.dev CNAME .
*.966ccd72.fb-policy-violation.pages.dev CNAME .
96fdc00ebc43cb5105b240b7f528dbf718bed7567d62799635359bed0a.pages.dev CNAME .
*.96fdc00ebc43cb5105b240b7f528dbf718bed7567d62799635359bed0a.pages.dev CNAME .
97-70z.pages.dev CNAME .
*.97-70z.pages.dev CNAME .
971.ym19710.workers.dev CNAME .
*.971.ym19710.workers.dev CNAME .
974489-coinbase.com CNAME .
*.974489-coinbase.com CNAME .
974b9441-9943-4ce2-9cf8-e9c52e048ac4-00-2g68qjjqpaqkn.pike.replit.dev CNAME .
*.974b9441-9943-4ce2-9cf8-e9c52e048ac4-00-2g68qjjqpaqkn.pike.replit.dev CNAME .
97582940-4ufn732hgn3k0.pages.dev CNAME .
*.97582940-4ufn732hgn3k0.pages.dev CNAME .
97840e17-8571-4fba-9790-d5eac1a2714d-00-3i9bbm100jv01.riker.replit.dev CNAME .
*.97840e17-8571-4fba-9790-d5eac1a2714d-00-3i9bbm100jv01.riker.replit.dev CNAME .
97d232e0-1a97-4348-876f-d97e9237a8b9-00-ozz9wncruk7j.riker.replit.dev CNAME .
*.97d232e0-1a97-4348-876f-d97e9237a8b9-00-ozz9wncruk7j.riker.replit.dev CNAME .
97e04a3f-ca24-4370-a82f-d96f84198f06-00-2fo7402kk0uxe.spock.replit.dev CNAME .
*.97e04a3f-ca24-4370-a82f-d96f84198f06-00-2fo7402kk0uxe.spock.replit.dev CNAME .
98105772aca3ca6d36193e96c60f0abccabc1c6cf625d0f1b6ae341ddb.pages.dev CNAME .
*.98105772aca3ca6d36193e96c60f0abccabc1c6cf625d0f1b6ae341ddb.pages.dev CNAME .
984114b5-616b-48a8-a52f-b07f8931ea02-00-1n1w7x8z3fyob.riker.replit.dev CNAME .
*.984114b5-616b-48a8-a52f-b07f8931ea02-00-1n1w7x8z3fyob.riker.replit.dev CNAME .
9849615c-a21c-4684-9f61-3ad21b6d1421-00-u95tpg052glj.sisko.replit.dev CNAME .
*.9849615c-a21c-4684-9f61-3ad21b6d1421-00-u95tpg052glj.sisko.replit.dev CNAME .
985a8b8d-7db7-42e1-b6d1-5d0ed1142d47-00-1z2ut4yvucx40.pike.replit.dev CNAME .
*.985a8b8d-7db7-42e1-b6d1-5d0ed1142d47-00-1z2ut4yvucx40.pike.replit.dev CNAME .
