$TTL 300
@ SOA localhost. root.localhost. 2024101901 43200 3600 259200 300
  NS  localhost.
25z5g623wpqpdwis.onion.to CNAME .
*.25z5g623wpqpdwis.onion.to CNAME .
27c73bq66y4xqoh7.dorfact.at CNAME .
*.27c73bq66y4xqoh7.dorfact.at CNAME .
27lelchgcvs2wpm7.3lhjyx.top CNAME .
*.27lelchgcvs2wpm7.3lhjyx.top CNAME .
27lelchgcvs2wpm7.7jiff7.top CNAME .
*.27lelchgcvs2wpm7.7jiff7.top CNAME .
27lelchgcvs2wpm7.7zv8o2.top CNAME .
*.27lelchgcvs2wpm7.7zv8o2.top CNAME .
27lelchgcvs2wpm7.9ildst.top CNAME .
*.27lelchgcvs2wpm7.9ildst.top CNAME .
27lelchgcvs2wpm7.adevf4.top CNAME .
*.27lelchgcvs2wpm7.adevf4.top CNAME .
27lelchgcvs2wpm7.ag082d.top CNAME .
*.27lelchgcvs2wpm7.ag082d.top CNAME .
27lelchgcvs2wpm7.apperloads.win CNAME .
*.27lelchgcvs2wpm7.apperloads.win CNAME .
27lelchgcvs2wpm7.asd3r3.top CNAME .
*.27lelchgcvs2wpm7.asd3r3.top CNAME .
27lelchgcvs2wpm7.b7mciu.top CNAME .
*.27lelchgcvs2wpm7.b7mciu.top CNAME .
27lelchgcvs2wpm7.bedrastic.bid CNAME .
*.27lelchgcvs2wpm7.bedrastic.bid CNAME .
27lelchgcvs2wpm7.bestfordownload.click CNAME .
*.27lelchgcvs2wpm7.bestfordownload.click CNAME .
27lelchgcvs2wpm7.bonbestal.asia CNAME .
*.27lelchgcvs2wpm7.bonbestal.asia CNAME .
27lelchgcvs2wpm7.fm0cga.top CNAME .
*.27lelchgcvs2wpm7.fm0cga.top CNAME .
27lelchgcvs2wpm7.h9ihx3.top CNAME .
*.27lelchgcvs2wpm7.h9ihx3.top CNAME .
27lelchgcvs2wpm7.laverhants.link CNAME .
*.27lelchgcvs2wpm7.laverhants.link CNAME .
27lelchgcvs2wpm7.liopakerb.black CNAME .
*.27lelchgcvs2wpm7.liopakerb.black CNAME .
27lelchgcvs2wpm7.marksgain.kim CNAME .
*.27lelchgcvs2wpm7.marksgain.kim CNAME .
27lelchgcvs2wpm7.nfgpeb.top CNAME .
*.27lelchgcvs2wpm7.nfgpeb.top CNAME .
27lelchgcvs2wpm7.redefined.click CNAME .
*.27lelchgcvs2wpm7.redefined.click CNAME .
27lelchgcvs2wpm7.rt4e34.win CNAME .
*.27lelchgcvs2wpm7.rt4e34.win CNAME .
27lelchgcvs2wpm7.tankbe.pro CNAME .
*.27lelchgcvs2wpm7.tankbe.pro CNAME .
27lelchgcvs2wpm7.thyx30.top CNAME .
*.27lelchgcvs2wpm7.thyx30.top CNAME .
27lelchgcvs2wpm7.uboys5.top CNAME .
*.27lelchgcvs2wpm7.uboys5.top CNAME .
27lelchgcvs2wpm7.vrid8l.top CNAME .
*.27lelchgcvs2wpm7.vrid8l.top CNAME .
27lelchgcvs2wpm7.wins4n.win CNAME .
*.27lelchgcvs2wpm7.wins4n.win CNAME .
27lelchgcvs2wpm7.wishsends.mobi CNAME .
*.27lelchgcvs2wpm7.wishsends.mobi CNAME .
27lelchgcvs2wpm7.xkfi59.top CNAME .
*.27lelchgcvs2wpm7.xkfi59.top CNAME .
27lelchgcvs2wpm7.xmvr54.top CNAME .
*.27lelchgcvs2wpm7.xmvr54.top CNAME .
2bdfb.spinakrosa.at CNAME .
*.2bdfb.spinakrosa.at CNAME .
2gdb4.leoraorage.at CNAME .
*.2gdb4.leoraorage.at CNAME .
2ymh2gnnbg6pgq2r.gremsot.pl CNAME .
*.2ymh2gnnbg6pgq2r.gremsot.pl CNAME .
2ymh2gnnbg6pgq2r.winregion.tw CNAME .
*.2ymh2gnnbg6pgq2r.winregion.tw CNAME .
32kl2rwsjvqjeui7.onion.cab CNAME .
*.32kl2rwsjvqjeui7.onion.cab CNAME .
32kl2rwsjvqjeui7.onion.to CNAME .
*.32kl2rwsjvqjeui7.onion.to CNAME .
32kl2rwsjvqjeui7.tor2web.org CNAME .
*.32kl2rwsjvqjeui7.tor2web.org CNAME .
37kddsserrt.xyz CNAME .
*.37kddsserrt.xyz CNAME .
3qbyaoohkcqkzrz6.bestxprice.ch CNAME .
*.3qbyaoohkcqkzrz6.bestxprice.ch CNAME .
3qbyaoohkcqkzrz6.livecamshow.ch CNAME .
*.3qbyaoohkcqkzrz6.livecamshow.ch CNAME .
3qbyaoohkcqkzrz6.torclassik.li CNAME .
*.3qbyaoohkcqkzrz6.torclassik.li CNAME .
3qbyaoohkcqkzrz6.torcommunity.ch CNAME .
*.3qbyaoohkcqkzrz6.torcommunity.ch CNAME .
3qbyaoohkcqkzrz6.tordonator.li CNAME .
*.3qbyaoohkcqkzrz6.tordonator.li CNAME .
3qbyaoohkcqkzrz6.tordoor.li CNAME .
*.3qbyaoohkcqkzrz6.tordoor.li CNAME .
3qbyaoohkcqkzrz6.torgate.es CNAME .
*.3qbyaoohkcqkzrz6.torgate.es CNAME .
3qbyaoohkcqkzrz6.torgateway.li CNAME .
*.3qbyaoohkcqkzrz6.torgateway.li CNAME .
3qbyaoohkcqkzrz6.tormain.li CNAME .
*.3qbyaoohkcqkzrz6.tormain.li CNAME .
3qbyaoohkcqkzrz6.tormaster.ch CNAME .
*.3qbyaoohkcqkzrz6.tormaster.ch CNAME .
3qbyaoohkcqkzrz6.tormaster.fr CNAME .
*.3qbyaoohkcqkzrz6.tormaster.fr CNAME .
3qbyaoohkcqkzrz6.torplanet.eu CNAME .
*.3qbyaoohkcqkzrz6.torplanet.eu CNAME .
3qbyaoohkcqkzrz6.torprovider.li CNAME .
*.3qbyaoohkcqkzrz6.torprovider.li CNAME .
3qbyaoohkcqkzrz6.torreactor.li CNAME .
*.3qbyaoohkcqkzrz6.torreactor.li CNAME .
3qbyaoohkcqkzrz6.torstation.li CNAME .
*.3qbyaoohkcqkzrz6.torstation.li CNAME .
4kqd3hmqgptupi3p.0vgu64.top CNAME .
*.4kqd3hmqgptupi3p.0vgu64.top CNAME .
4kqd3hmqgptupi3p.143h2a.top CNAME .
*.4kqd3hmqgptupi3p.143h2a.top CNAME .
4kqd3hmqgptupi3p.1tvjk1.top CNAME .
*.4kqd3hmqgptupi3p.1tvjk1.top CNAME .
4kqd3hmqgptupi3p.1zp109.bid CNAME .
*.4kqd3hmqgptupi3p.1zp109.bid CNAME .
4kqd3hmqgptupi3p.249isv.bid CNAME .
*.4kqd3hmqgptupi3p.249isv.bid CNAME .
